Poly Bridge 2 - 3-10 "Shafted" any% leaderboard (* = breaks)
Updated 2021-08-11T00:24:43.823Z
1000/49655 unique ranks shown

 *417. $15,391 libecrola
 *418. $15,392 TesllaTea マックス
  419. $15,397 Wicked-Moj
  420. $15,399 BladeRunner1105
  421. $15,400 david.r.martin28
 *422. $15,402 Pineappleboi96
  423. $15,410 TheIdealis
  424. $15,413 jtyotJOTJIPAEFVJ
  425. $15,416 ZKJ
 *426. $15,416 Ryan
 *427. $15,419 Skye_Homes
  428. $15,420 bananapeel3234
  429. $15,424 Zero
  430. $15,425 PLIER
  431. $15,426 Player
  432. $15,428 Sizzle
  433. $15,429 aryanc
  434. $15,432 Catom18
  435. $15,439 Schmee323
  436. $15,441 magemasher256
  437. $15,441 ron
  438. $15,441 7
  439. $15,446 Cix
 *440. $15,449 Necrotechian
  441. $15,452 [ok.] Teaksanny
  442. $15,455 IWillBeanInj
  443. $15,457 gryzor420
  444. $15,459 Dorno
 *445. $15,461 sulsagamer
  446. $15,462 Psicodeli@
  447. $15,463 samulki
  448. $15,466 Vendetta
 *449. $15,469 a trained kitten
  450. $15,470 kenny
  451. $15,471 Rackham
  452. $15,477 JustThatKid
  453. $15,479 ecgwdgs
  454. $15,480 Rivz
  455. $15,481 Tufvesson
  456. $15,484 cimi1715
  457. $15,485 EAMoney97
  458. $15,485 newman05er
  459. $15,487 benzine
  460. $15,495 SuiteWolf
  461. $15,504 Da Real Inventor
  462. $15,509 El_Saint
  463. $15,511 Tryrik
 *464. $15,514 HappyPiggy
 *465. $15,514 Nöten
  466. $15,516 Adranium
  467. $15,525 Penguinatormike
  468. $15,532 Jumpyball16
  469. $15,533 duckace
  470. $15,540 AntiCheat
  471. $15,541 Filipus
  472. $15,549 Lu
  473. $15,549 Clutchkech
  474. $15,552 Sorter
  475. $15,553 aschwarzman
  476. $15,559 gajiro240
  477. $15,559 Kondohms
  478. $15,570 liquor snurf
 *479. $15,571 Lucestre
  480. $15,575 leoncorkidi
  481. $15,579 Kerplowy
 *482. $15,581 Blitz
  483. $15,596 Poopfish
  484. $15,601 SCHM1TTY
  485. $15,605 codiferis
  486. $15,605 RyanCampbell
  487. $15,611 nhaven14
  488. $15,611 qiuqiuhulstrom
  489. $15,615 LUCAS1
  490. $15,618 _jon
  491. $15,619 jeremywinick
  492. $15,623 HappyFeet
  493. $15,624 kins12345
 *494. $15,625 Asherville
  495. $15,625 astaroth_ssoul
 *496. $15,629 Yang_lms
  497. $15,631 CoJito62
  498. $15,635 A spy in the haus
  499. $15,639 buzzq
  500. $15,641 instant karma
  501. $15,643 BrimstoneHD
  502. $15,647 lulu614
  503. $15,651 J_A_S
  504. $15,652 dzaima
 *505. $15,653 blomejd
  506. $15,656 Sir Ansambel
  507. $15,657 mdocod
  508. $15,662 Galexium
  509. $15,663 D. Lisboa
  510. $15,668 portlandpope
 *511. $15,672 sAyOx
  512. $15,672 boski04
  513. $15,675 Asyxui
  514. $15,681 aigo428
  515. $15,683 Cook
  516. $15,686 Zounius
  517. $15,686 Abyss
  518. $15,688 Dom
  519. $15,691 Papa_Roche
  520. $15,691 Scienitive
  521. $15,698 grantyoder
 *522. $15,698 Snitch
  523. $15,699 ArborealOyster
  524. $15,700 bobby
  525. $15,704 Zorgus
  526. $15,706 SandFragmenter
  527. $15,709 Ossi Eastborn
  528. $15,710 Hentoad1
  529. $15,716 Qwiby
  530. $15,727 CasterNinja
  531. $15,736 sisko
  532. $15,736 SaucyStanley
  533. $15,739 chupa71
 *534. $15,742 ShiningNova-7
  535. $15,742 Saxmatron
  536. $15,751 MarkFinn
  537. $15,756 mdhollander
  538. $15,758 thoma7fglut6
  539. $15,758 dhut
  540. $15,761 Rich Homie
  541. $15,765 Dad
  542. $15,766 QuantiumIm
  543. $15,768 Crimson
  544. $15,769 Chase1mod
  545. $15,770 TRUDOG29
  546. $15,771 836496550
  547. $15,773 Sigma™
  548. $15,774 L@rs
  549. $15,775 Jippopotamus
  550. $15,778 damose
  551. $15,780 Kernalcorn82
  552. $15,781 Spuchie
  553. $15,781 Quadley
  554. $15,789 Chazzyboy37
  555. $15,795 lilo_we
  556. $15,795 Navinate
  557. $15,801 zOmbie
  558. $15,804 Captain Jones
  559. $15,805 wytzepiet
  560. $15,806 M/Flash
  561. $15,806 Hiby
  562. $15,808 Akuma
  563. $15,809 onnosenpai
  564. $15,811 anijoker
  565. $15,812 Thunderbird9
  566. $15,812 patrickjsteel
  567. $15,812 Momo
  568. $15,813 dragonos451
  569. $15,813 cd
  570. $15,814 Nigbor
 *571. $15,814 rodgersmichael2000
  572. $15,815 lazy comet
  573. $15,816 Xeetos
  574. $15,822 Shadow134
  575. $15,822 •҉ Kermit_Qc
  576. $15,825 le fantôme de argonaut
  577. $15,830 Papahemmy
  578. $15,830 Osik2019
 *579. $15,834 toonijn
  580. $15,835 Piotirex
  581. $15,837 nils.g.lind
  582. $15,837 Ceilius
  583. $15,837 andricraft123
  584. $15,837 Bram2323
  585. $15,847 ilia.gureev
  586. $15,850 Kurzheck
  587. $15,852 Storm Spirit For Arcana 2020
  588. $15,852 IIceman07
  589. $15,857 zafrocto
  590. $15,858 Beast 101
  591. $15,861 raven7312
  592. $15,868 mikehuntehertz
  593. $15,869 alexjjohn41
  594. $15,870 koutanpuni
 *595. $15,870 TriangularStamp
  596. $15,872 boris.boonstra
  597. $15,874 VeniVidiArastis
  598. $15,878 Curry in a Hurry
  599. $15,879 The Berg
  600. $15,880 Perzival
  601. $15,881 Dingo
  602. $15,882 WhyOfCourseNot
  603. $15,882 2540515493
 *604. $15,883 Ykd
  605. $15,883 Cibfox
  606. $15,884 noamhendriks
  607. $15,888 whdaud2619
 *608. $15,896 orangeP
  609. $15,903 Gamer Q
  610. $15,904 TheBrilliot
  611. $15,907 Kristallgames
  612. $15,907 Matterny
  613. $15,907 1120732149
  614. $15,910 lagerqvist Adam
  615. $15,911 Kobold
  616. $15,911 Muis193
  617. $15,913 bammusic4u
  618. $15,913 Pripsoee
  619. $15,914 Vinzlow
  620. $15,914 6545430
  621. $15,921 eliteporo
 *622. $15,921 Thunder McKing
  623. $15,922 Lukephos
 *624. $15,930 rocket.tom07
  625. $15,930 Orthrus
  626. $15,930 skylord_jwss
  627. $15,931 EssentailAttack
  628. $15,934 jbe22
  629. $15,937 PigeoNnnnnn
  630. $15,938 Sqmue1
  631. $15,939 tgeene39
  632. $15,939 mrhthepie
 *633. $15,944 ✪ JJ ™
  634. $15,944 UkiArcticFox
  635. $15,945 Bronson
  636. $15,951 Shadow Blades
  637. $15,952 782054923
  638. $15,953 snefens
  639. $15,953 gl_zhu
  640. $15,957 Pengujedi
  641. $15,958 Minfredus
  642. $15,961 qburlew
  643. $15,961 zabirskie
  644. $15,963 3Dee
  645. $15,966 Teslos
  646. $15,972 blue
  647. $15,974 Poibooi
  648. $15,975 Doc_Hammer
  649. $15,977 Sexy Boy Industries [woop]
  650. $15,977 Feelmentalpain
  651. $15,991 j.bottomley87595
  652. $15,991 The Jam
  653. $15,994 Hydkiz
  654. $15,995 New Boot Goofin'
  655. $15,997 bennatwil
  656. $15,999 moskittle
  657. $15,999 Earl, son of Earl
  658. $15,999 Xtree49
  659. $15,999 Face7
  660. $16,002 DanOnTheMoon
  661. $16,004 ted.wachtel
  662. $16,011 vreugd5
  663. $16,011 Meilo
  664. $16,012 TheSeriousWalrus
  665. $16,012 Delta_Mage
  666. $16,013 BakaBeanBag
  667. $16,016 TheRocket
  668. $16,019 Willow
  669. $16,021 MJRButton
  670. $16,030 Tskami
  671. $16,036 matteopaol88
  672. $16,037 madmax95
  673. $16,038 chrisbasmaci
  674. $16,040 Venntrical
  675. $16,042 holyTyu
  676. $16,042 kaha
  677. $16,042 BSan
  678. $16,045 MuscleMuscleDigDa
  679. $16,045 지후
  680. $16,045 giovannifalzone33
  681. $16,046 MoltenRock
  682. $16,047 浮浪者
  683. $16,048 Firestorm1113
  684. $16,050 Gresham
  685. $16,050 Williamoboy
  686. $16,051 bwpayne09
  687. $16,052 Shikto
  688. $16,057 sbeven
  689. $16,058 ToastyIce
  690. $16,059 sdren
  691. $16,060 Wamphyri
  692. $16,063 MacDaCat
  693. $16,067 gallowayjames96
  694. $16,068 Swole Smurf
  695. $16,069 sam_fife
  696. $16,071 goonrevolution
  697. $16,071 Mr_moose
  698. $16,071 Conqu3red
  699. $16,074 Jamsheed the RPG God
  700. $16,077 dvanhinthum
  701. $16,078 Patches
  702. $16,078 pkroon96
  703. $16,079 slartybarfast
  704. $16,080 tuomas.rasanen
  705. $16,083 Kasi
 *706. $16,087 piewilldie
  707. $16,088 olivapaa
  708. $16,089 Shifu
  709. $16,090 ki1law
  710. $16,093 468244818
  711. $16,095 jonathancapps24
  712. $16,095 mrallenengasser
 *713. $16,095 Glitchb0t5
  714. $16,098 StarchBoy417
  715. $16,099 Mystic
  716. $16,102 Intefin
  717. $16,102 HayItsJey
  718. $16,104 MegaGamerGuy
  719. $16,104 Gliptal
  720. $16,104 xid8y
  721. $16,105 |Bread|
 *722. $16,110 Eevee
  723. $16,112 goaljim1
  724. $16,116 Mathis
  725. $16,116 jibulii
  726. $16,117 BMNascimento
  727. $16,120 80085
  728. $16,120 frotnight funy
  729. $16,121 Space Turtle
  730. $16,121 CrazyDave
  731. $16,123 Buttermaker
  732. $16,125 ssambalee
  733. $16,129 1300ny
  734. $16,129 Jerry from HR
  735. $16,130 KonradEriksson
  736. $16,132 DEUTSCHLAND7007
  737. $16,136 doppeldanger
  738. $16,138 rodutomo
  739. $16,146 BrianTho2010
  740. $16,146 SamaraCZ pvpro.com
  741. $16,148 gijweet
  742. $16,149 SupremeOverLordBasketballDouche
  743. $16,149 Nth Master
  744. $16,151 h.lahdelma
  745. $16,152 diederTheBeader
  746. $16,154 Valiant365
  747. $16,157 Yuri Tarded
  748. $16,159 Capybara
  749. $16,160 JCworks
  750. $16,163 Versatilus
  751. $16,163 Shieber
  752. $16,164 TazEPR
  753. $16,165 Oskar
  754. $16,172 SCRUB.HYBRID
  755. $16,174 Rapidz Tempest
  756. $16,176 17uu
  757. $16,176 TheLOLGuy
  758. $16,176 Pulse-PeePeeBajsOn
  759. $16,176 kayakinwolverine
  760. $16,177 BroerZegWollah
  761. $16,177 cpro2000
  762. $16,179 hmx0311
  763. $16,181 jacktud
  764. $16,182 Workforce
  765. $16,185 󠀡󠀡󠀡󠀡󠀡󠀡󠀡󠀡
  766. $16,186 DildoBike
  767. $16,189 Guacamole Jim
 *768. $16,189 christof
 *769. $16,189 Big Shrimp
  770. $16,192 Ant99man99
  771. $16,193 Резин
