Poly Bridge 2 - 4-16 "Don't Leave Me" any% leaderboard (* = breaks)
Updated 2023-02-18T00:36:37.594Z
1000/40766 unique ranks shown

  741. $28,377 No Hope
  742. $28,380 snowfire247
  743. $28,380 greyandwhite
  744. $28,390 alvaroblazquez78
  745. $28,394 sanedragon
  746. $28,395 HappyPiggy
  747. $28,396 cvk
  748. $28,396 BeljihnWahfl
  749. $28,398 K.O.
 *750. $28,398 23f8nryk3
  751. $28,403 Baba Yaga
  752. $28,406 jhazen
  753. $28,406 Timbits Birthday Cake Cereal
  754. $28,408 Ossibo
  755. $28,421 slartybarfast
  756. $28,428 brianmboru
  757. $28,429 nokipoika
  758. $28,434 lukas.uhrig2000
  759. $28,435 egerdus
  760. $28,438 alex
  761. $28,440 Phimic
  762. $28,441 Vorbisfile
  763. $28,448 Sothyl
  764. $28,450 ZiegHailo
  765. $28,452 Lime
  766. $28,457 edufibral
  767. $28,459 TheBourban
  768. $28,459 Gwendoline
  769. $28,461 matt
  770. $28,469 jblillo2
  771. $28,471 olliej
 *772. $28,471 Linx
  773. $28,472 loog
  774. $28,474 L4RZn
  775. $28,478 Eumaeus58
  776. $28,488 goiman360
  777. $28,497 Jesin00
  778. $28,498 Litelbrown
  779. $28,510 Ouijacatpower
  780. $28,511 Tapperij
  781. $28,515 johnchansc13
  782. $28,517 lipper_713
  783. $28,520 Dzhyls
  784. $28,520 Limor
  785. $28,527 r.boere
  786. $28,527 FYI I'm a spy... or am I?
  787. $28,528 mcdaddyallen
  788. $28,530 User073
 *789. $28,532 Dad
  790. $28,548 benoitfavre
  791. $28,551 Howard Beale
  792. $28,553 TimZower
 *793. $28,558 Jupiter
  794. $28,563 Water
  795. $28,567 Slick
  796. $28,569 lint100ace
 *797. $28,574 SleepyGary
  798. $28,575 Tashimasu
  799. $28,580 StellarPatellar
 *800. $28,584 Debz
  801. $28,589 pipiscy5221
  802. $28,594 zabirskie
  803. $28,600 sciencarbon
  804. $28,600 Lambo
  805. $28,602 Zhus118
  806. $28,608 t01049977446
  807. $28,613 Ł@ŭяєη$
  808. $28,617 luneclipsee
  809. $28,617 BxRAW
  810. $28,619 meatdealer
  811. $28,620 aardmaark
  812. $28,621 Xerocole
  813. $28,622 𝗟𝗡𝗩
  814. $28,624 madmaxm
  815. $28,632 RZNY
  816. $28,643 GalahadRounds
  817. $28,653 erik.jacobsson88
  818. $28,658 alexzONfire
  819. $28,659 TheSpaceGuy05
  820. $28,679 VanniPiraatKarl
  821. $28,680 PieceOfCake
 *822. $28,682 spongue
  823. $28,684 Ｍｒ． ｃｌｅａｎ
  824. $28,687 Muis193
  825. $28,690 HAH | Upsvergessen
 *826. $28,695 vitken
  827. $28,696 1213176647
  828. $28,697 CarryMaster123
  829. $28,697 Herr ZerØ
  830. $28,698 TA Wintermute
 *831. $28,698 FormerElephant
  832. $28,701 jlteunissen
  833. $28,702 gddbuckley
  834. $28,716 boximusprimate
 *835. $28,720 0x01
  836. $28,724 Big Dave
  837. $28,728 Night_Monkey
  838. $28,748 Slubstitute
 *839. $28,755 crazydiamonde
  840. $28,761 Mad Dogg
  841. $28,762 Zabujca
  842. $28,765 schnooa
  843. $28,766 xavlee2005
  844. $28,771 Exydis
  845. $28,774 GsG.Ballistic
 *846. $28,775 Renire
  847. $28,788 hippi
  848. $28,791 Oscar
  849. $28,793 aidanparshall
  850. $28,797 gareth_bryne
  851. $28,798 Everdever
  852. $28,801 ~wooden.kneecap
  853. $28,805 Guidetti
  854. $28,811 samurekun
 *855. $28,812 romyk
  856. $28,817 tkismr
 *857. $28,817 Invasian
  858. $28,820 nalioutz
  859. $28,822 n_tobi
  860. $28,822 allan.elwood
  861. $28,827 vagina quickscoper
  862. $28,829 OofMe
  863. $28,830 Terrigible
  864. $28,833 Nuclear Pasta
  865. $28,841 Asimov
  866. $28,843 cb.Atze-Peng.wt
  867. $28,849 Fazi
  868. $28,849 aaalex62
  869. $28,850 Logs
  870. $28,852 TimeDrifter
  871. $28,853 MagSun
  872. $28,856 Introvert_talks
  873. $28,856 Cheese Diablo
  874. $28,859 Scary Freak
  875. $28,863 taxmaxgoodman
  876. $28,864 lukas.speckbacher
 *877. $28,868 Plyoxxz
  878. $28,869 dendy8098
  879. $28,873 kroepieboesie
  880. $28,873 Joe the GI
  881. $28,874 Kraudy
  882. $28,875 UkiArcticFox
  883. $28,876 jdogg565
  884. $28,879 Juersk
  885. $28,886 s_congdon
  886. $28,889 Ares
  887. $28,890 QuantiumIm
  888. $28,896 arodgers
  889. $28,898 Kosepose
 *890. $28,899 B Y
  891. $28,900 ole.van.tiel
  892. $28,902 KoolAidWannaBe
  893. $28,906 zinon2
 *894. $28,906 PeterHoHK
  895. $28,908 GASOCH
  896. $28,909 Pumpnog
  897. $28,909 benjamminj333
  898. $28,911 Aisle009
  899. $28,912 Bobossul
  900. $28,916 Nicu Paduraru
  901. $28,925 Limespy
  902. $28,925 chanlekho
  903. $28,926 Basuke
 *904. $28,929 nermy spermy hellcase.com
  905. $28,930 Mal
  906. $28,933 MilkThe
  907. $28,933 Juspe
  908. $28,933 nboying4
  909. $28,935 Mr. Aakje
 *910. $28,946 Simplix23
  911. $28,951 Cobler19
  912. $28,952 Croutiflex
  913. $28,952 King of Okay
  914. $28,954 Bull3tCrisisX
  915. $28,956 Edjs
  916. $28,957 Marozino
  917. $28,962 Boomer9002
  918. $28,966 RaykziN
  919. $28,979 Dusk
  920. $28,982 Lui
  921. $28,994 HiCanIKillYou
