Poly Bridge 2 - 1-10 "First Jump" any% leaderboard (* = breaks)
Updated 2022-10-08T00:44:57.365Z
1000/404496 unique ranks shown

   *1. $282   9k5
   *2. $283   Lagiiiie
   *3. $283   ALiCe
   *4. $283   akkun_ouo
   *5. $438   Shadow
   *6. $477   somefakegamer
   *7. $499   Trygeve
   *8. $499   Cookieblues
   *9. $533   からず
  *10. $617   minecat
  *11. $628   Dusty
  *12. $634   Crimson
  *13. $634   palfly15
  *14. $639   thenoob9487
  *15. $781   MOD
  *16. $781   geroniberry
  667. $7,877 mehta.amrit
 *668. $7,879 ZimollPro
  669. $7,879 jelle_smedegaard
 *670. $7,881 Gou
 *671. $7,881 jacob.gilmore29854
  672. $7,881 Asperchu
  673. $7,882 Dere dere kawaii
  674. $7,882 Pajo
 *675. $7,883 繁星
  676. $7,887 sevalecan
  677. $7,889 lilSakko
 *678. $7,889 haustier
  679. $7,890 鸢
  680. $7,890 Ozelotl
  681. $7,890 mikiethepenguin
  682. $7,892 Marbles76
  683. $7,892 notgoodcody
  684. $7,894 Twat
  685. $7,894 shuiru
 *686. $7,895 The_Vaccine
  687. $7,897 vivalarebellion
  688. $7,899 Loner
 *689. $7,901 Pivoo
  690. $7,901 F48l4n
  691. $7,904 filliptom
  692. $7,905 henrikluit
  693. $7,906 YoutubeHammer
 *694. $7,906 Neko Toster
  695. $7,907 slender9979
  696. $7,907 Nöten
  697. $7,907 Glithicus
  698. $7,911 abdul bum bum
 *699. $7,911 hexrain12
 *700. $7,912 askday123
  701. $7,913 Geoff Shreeves
  702. $7,914 rlycoldud
  703. $7,914 Dragon
  704. $7,915 Litauen.al
  705. $7,917 marian
  706. $7,917 trust factor is a fucking joke
  707. $7,917 Harrley
 *708. $7,919 Captain
  709. $7,921 BlueFlame
  710. $7,922 Messor
 *711. $7,923 hama
  712. $7,925 JebediahTechnic
  713. $7,926 Parsnips
 *714. $7,928 FrostedGH
 *715. $7,928 Hulk Deputado
  716. $7,930 BloodlineViking
 *717. $7,931 DenaliTheCommie
  718. $7,931 yaenu94
  719. $7,933 Pilou
  720. $7,935 DairyGoblin
  721. $7,935 Railerz
 *722. $7,935 [k]r3w7
 *723. $7,938 nhpuppy
 *724. $7,940 Billy Bust Inside
 *725. $7,941 肥猪Xp
  726. $7,941 Roger that (nl)
  727. $7,946 connorjwhite
  728. $7,947 Mamuttusk
 *729. $7,951 HarryHLK
  730. $7,952 gaukele
 *731. $7,954 nichlaes
  732. $7,956 gary.3516729
  733. $7,957 gpisthebest
 *734. $7,960 Errant AI
  735. $7,961 Plump
  736. $7,961 Obscura Max
 *737. $7,963 Peter
 *738. $7,964 LaceDM
 *739. $7,965 Dansta2106
  740. $7,965 CCcat
  741. $7,966 Shinsekai Yori
 *742. $7,967 Tube131
  743. $7,968 Im Not Insane
  744. $7,971 Amtyi
  745. $7,972 cheat117
  746. $7,975 RaddG93
  747. $7,975 Potatoefiteme
  748. $7,976 EasyX
  749. $7,978 本王名果冻
  750. $7,978 Antares
  751. $7,978 solidscot
 *752. $7,979 Ikebab
  753. $7,981 A1sauce
 *754. $7,983 Ticxo
  755. $7,986 Kn1GhT05
 *756. $7,991 *****
  757. $7,991 Kroko
  758. $7,991 Tinune
  759. $7,993 pixelized
  760. $7,993 Star Tube
  761. $7,993 schmitz
  762. $7,995 The_Darebear
  763. $7,996 MegaIng
 *764. $7,998 2051894467
  765. $7,998 dylanjcoolguy
  766. $7,999 ToothyLobster
 *767. $8,000 willem567
 *768. $8,000 昕and夕
  769. $8,000 phurgawtin
  770. $8,005 竹马追风
  771. $8,005 Natme
  772. $8,006 fontrum
  773. $8,011 φ-->(ψ-->φ)
 *774. $8,016 Anonymoosellama
 *775. $8,016 yoyo_aloneinkyoto
  776. $8,018 asterics
  777. $8,021 Joe
 *778. $8,023 清清花狸猫
  779. $8,024 сукассбронли
 *780. $8,030 corey.r.mcintire
  781. $8,033 1694489134
 *782. $8,034 zakroberts26
 *783. $8,036 newman05er
  784. $8,037 aPatchy
  785. $8,037 Fast Trax
 *786. $8,038 Nebisan
  787. $8,038 TinRoof
  788. $8,040 Melty
 *789. $8,042 svenlaene
  790. $8,045 qrsonist
  791. $8,045 meireles1323
 *792. $8,047 Mr.Buckypants
  793. $8,047 GuLi™
  794. $8,050 Commander John
 *795. $8,050 萤火の森
  796. $8,051 ЖОПА
  797. $8,052 Yoruichi
  798. $8,053 AdmiralChu
  799. $8,058 spongue
  800. $8,059 m.d.rees
  801. $8,059 biquette
  802. $8,060 MΛR10
 *803. $8,061 Bustin
  804. $8,062 park002
  805. $8,063 sandro.roth04
  806. $8,064 Bandwidth Bandit
  807. $8,067 Teemo OP
  808. $8,069 星尘姬
  809. $8,070 Roll Initiative
  810. $8,075 YXWEB
  811. $8,075 4verMiST
  812. $8,075 Mariusz1111
  813. $8,076 NexuSensei
 *814. $8,078 instant karma
  815. $8,081 MadDog
 *816. $8,081 ScamMeister
  817. $8,082 Valuezz
 *818. $8,085 Mr.Nice
 *819. $8,086 Hexdex
  820. $8,087 nikw12121
  821. $8,088 猫の手
  822. $8,089 HalationEffect
