Poly Bridge 2 - 4-07 "Big Spender" any% leaderboard (* = breaks)
Updated 2025-11-01T00:53:22.759Z
1000/81167 unique ranks shown

   *1. $299   akkun_ouo
   *2. $299   Dusty
   *3. $312   9k5
   *4. $326   Chris
   *5. $330   Lagiiiie
   *6. $345   somefakegamer
   *7. $355   Monlig-滑地上之小稽
   *8. $420   Cookieblues
   *9. $438   LilliNeko
  753. $9,207 matt
  754. $9,207 Phal.
 *755. $9,208 bxquint
  756. $9,209 ❆ƘʶʎʂζϮɪ∆Ϟ❆
  757. $9,210 hmspaul
  758. $9,210 [Kpt]Pikok
  759. $9,210 NiicoR
  760. $9,210 yuki_lee
  761. $9,210 symh12345
 *762. $9,210 진천 남자
 *763. $9,211 Dorno
  764. $9,212 Sigma Female
  765. $9,213 Redvvines
  766. $9,213 Joostthegamer
  767. $9,213 kilagigs
  768. $9,214 Rasta Sauce1
  769. $9,214 GenMayer
  770. $9,214 kor_doji
  771. $9,215 LLAMA
  772. $9,216 Enricopower
  773. $9,216 lprovow
  774. $9,218 juzu0
  775. $9,220 comtedehonk
  776. $9,221 MoscaTonta
  777. $9,222 Lunk
  778. $9,222 dicotraingame
  779. $9,223 lpf
  780. $9,223 jake89
  781. $9,224 antiblaze67
  782. $9,228 KingOvTheHive
  783. $9,228 whatever
  784. $9,228 tcbeatson
  785. $9,229 misty2469z
  786. $9,231 10004okljs
  787. $9,231 Gel Banana
  788. $9,232 Neon青
  789. $9,233 mikki
  790. $9,234 Colteor
  791. $9,234 ef20080118
  792. $9,234 junginho0
  793. $9,235 Linmo
  794. $9,235 bestsun2011
  795. $9,235 11918876
  796. $9,236 Theblastback
  797. $9,238 Arigami
  798. $9,238 cashgold
  799. $9,239 Phoebio
  800. $9,239 malikbilmen
  801. $9,240 Wyatt The KAnadian
  802. $9,240 Bobby Bobbys
  803. $9,240 roreywood
  804. $9,240 XFighter
  805. $9,241 SunBeam
  806. $9,241 TTV_SC_Cooper02
  807. $9,243 acidave
  808. $9,244 Lemon Scented
  809. $9,244 Thelostone9
  810. $9,244 dawsonjones2020
  811. $9,246 daniel.gilesthornbory
  812. $9,247 yeha0911
 *813. $9,247 evanpoitevint
  814. $9,248 kefts1104
  815. $9,249 joijun0616
 *816. $9,249 hmr7070
  817. $9,251 oldstone
  818. $9,251 Toby_夜空
  819. $9,253 charlesslincoln
  820. $9,254 Moltenion
 *821. $9,254 1471050101
  822. $9,257 Emblazened
 *823. $9,257 ChaN_NaKa
  824. $9,258 justus.friede
  825. $9,259 happyjoy1026
  826. $9,260 BaekInYeob
 *827. $9,260 kyuchan165
  828. $9,262 hayabrothers22
  829. $9,262 망고야
  830. $9,263 joseph.pesqui
  831. $9,263 sumSophi
  832. $9,263 MrBronto
  833. $9,263 忘人敌
  834. $9,263 Sway
 *835. $9,264 hun138
  836. $9,265 richmond
  837. $9,266 david_r_baker
  838. $9,266 PP
 *839. $9,266 jonascuypers
  840. $9,267 nimzo1929
  841. $9,268 dlaldud5
  842. $9,269 micha143
  843. $9,269 david791230
 *844. $9,270 Tuffs
  845. $9,271 sooni
  846. $9,271 RG Leon
  847. $9,272 按键伤人
  848. $9,273 erik_wu
  849. $9,276 Gilbertaum
  850. $9,276 Ducks In A Row
  851. $9,277 k77cyber
  852. $9,277 AustinisFake
  853. $9,278 刚玩没多久
  854. $9,280 teraoteratera
  855. $9,280 luca.cyborg8
 *856. $9,280 jthong
  857. $9,281 Jumpyball16
  858. $9,281 taeyangbag37
  859. $9,284 ndrslengyel
  860. $9,284 umikhee3
  861. $9,284 GOD
 *862. $9,284 nom4910
  863. $9,285 이드
  864. $9,286 K V N   W L N G
  865. $9,286 tyler.diep9
  866. $9,288 t01049977446
  867. $9,288 anijoker
  868. $9,289 DWINGUL
  869. $9,289 ololololo
  870. $9,290 BloodyWZ
  871. $9,290 Skylyx
  872. $9,292 rising_orange
  873. $9,292 Israel, My Love
  874. $9,292 damiandittmaier
  875. $9,293 MioGames
  876. $9,294 burnblue
 *877. $9,294 golfmike80
  878. $9,295 minjun
  879. $9,297 henryloucatos
 *880. $9,297 millscraft87
  881. $9,298 liambohl
  882. $9,298 Batdragon
  883. $9,299 Ossi Eastborn
  884. $9,299 FoxtrotHawk
  885. $9,299 laurenmhinze
  886. $9,299 sonja2905
  887. $9,299 고독해랑
  888. $9,305 IE48
  889. $9,306 Sasquatch(Evan)
  890. $9,306 JoelCadence
  891. $9,306 jaakkom
  892. $9,307 hyeonluj
  893. $9,308 lidaranis
  894. $9,308 kaemmerpeter18
  895. $9,309 Jmoney1011
 *896. $9,309 Kn1GhT05
  897. $9,310 naito.7110.31415926535
  898. $9,310 seslsj0513
  899. $9,311 폴리브릿지
  900. $9,312 mozukusoba
 *901. $9,312 sqrt123
  902. $9,313 l9s9k9
  903. $9,314 andrewmcgr
  904. $9,315 cegray
  905. $9,316 JanTeb
  906. $9,321 Fergendonger
  907. $9,323 clive
  908. $9,325 - San -
